Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,CIBIL_Score,Property_Area,Loan_Type,Loan_Status
Male,No,0,Graduate,No,10613,0,10.0,360.0,0.0,305,Urban,Home Loan,N
Male,Yes,1,Graduate,No,10420,3366,50.0,120.0,1.0,687,Semiurban,Car Loan,Y
Male,Yes,0,Graduate,No,1546,387,10.0,180.0,0.0,386,Urban,Personal Loan,N
Male,Yes,0,Not Graduate,No,11573,126,17.0,240.0,0.0,488,Rural,Business Loan,N
Female,No,3+,Graduate,,5257,0,19.0,360.0,0.0,402,Semiurban,Home Loan,N
Female,No,0,Graduate,No,4502,0,17.0,360.0,0.0,403,Rural,Education Loan,N
Female,Yes,3+,Graduate,Yes,12460,7338,54.0,300.0,1.0,763,Semiurban,Personal Loan,Y
Male,Yes,3+,Graduate,No,10314,1330,29.0,84.0,0.0,366,Urban,Home Loan,N
Male,Yes,2,Not Graduate,No,6348,477,30.0,180.0,1.0,781,Rural,Car Loan,Y
Male,Yes,1,Graduate,No,5604,1648,32.0,480.0,1.0,741,Semiurban,Education Loan,Y
Male,Yes,1,Not Graduate,No,6194,1300,13.0,360.0,1.0,829,Urban,Home Loan,Y
Male,,2,Graduate,No,3041,0,13.0,360.0,0.0,506,Semiurban,Home Loan,N
Male,Yes,0,Graduate,No,3871,3257,21.0,240.0,1.0,864,Semiurban,Home Loan,Y
Male,Yes,0,Graduate,Yes,2139,844,10.0,300.0,1.0,727,Rural,Education Loan,N
Female,Yes,1,Graduate,No,3187,496,13.0,180.0,1.0,869,Semiurban,Home Loan,Y
Male,No,0,Graduate,No,3113,0,10.0,360.0,0.0,381,Semiurban,Home Loan,N
Male,No,0,Not Graduate,Yes,2579,0,10.0,360.0,1.0,778,Urban,Car Loan,Y
Male,Yes,0,Graduate,No,4428,1200,16.0,240.0,1.0,692,Semiurban,Home Loan,Y
Male,No,1,Graduate,Yes,3207,0,14.0,240.0,1.0,873,Rural,Home Loan,Y
Male,Yes,2,Not Graduate,No,5719,739,34.0,180.0,0.0,432,Rural,Business Loan,N
Male,Yes,0,Not Graduate,Yes,1500,487,10.0,60.0,0.0,414,Urban,Home Loan,N
Female,Yes,3+,Graduate,Yes,3716,1597,10.0,360.0,0.0,510,Urban,Education Loan,N
Female,Yes,1,Not Graduate,Yes,4412,597,10.0,120.0,1.0,690,Urban,Car Loan,N
Female,,2,Graduate,No,3237,1712,15.0,360.0,0.0,453,Semiurban,Education Loan,N
Female,No,1,Graduate,No,3566,0,10.0,360.0,1.0,837,Rural,Education Loan,Y
Male,No,2,Not Graduate,,1500,0,10.0,360.0,1.0,846,Rural,Home Loan,Y
Female,No,0,Graduate,No,5164,0,12.0,360.0,1.0,883,Semiurban,Personal Loan,Y
Male,Yes,2,Graduate,No,6331,761,20.0,360.0,1.0,728,Rural,Car Loan,Y
Male,Yes,0,Graduate,No,5684,534,10.0,360.0,0.0,581,Semiurban,Personal Loan,N
Male,No,3+,Not Graduate,No,8325,0,44.0,60.0,1.0,819,Urban,Car Loan,Y
Male,Yes,3+,Not Graduate,No,4633,425,17.0,360.0,1.0,857,Semiurban,Business Loan,Y
Male,Yes,0,Graduate,No,5625,587,32.0,360.0,1.0,877,Rural,Personal Loan,Y
Male,Yes,0,Graduate,No,4488,1842,17.0,120.0,1.0,813,Rural,Business Loan,Y
Female,No,2,Graduate,No,6511,0,10.0,360.0,1.0,817,Semiurban,Education Loan,Y
Male,Yes,0,Graduate,Yes,1500,3289,10.0,360.0,1.0,679,Semiurban,Car Loan,N
Male,Yes,2,Graduate,No,2152,559,12.0,360.0,1.0,751,Rural,Personal Loan,Y
Male,No,0,Not Graduate,Yes,12220,0,55.0,120.0,0.0,444,Semiurban,Business Loan,N
Male,Yes,0,Graduate,No,1500,720,10.0,360.0,0.0,410,Urban,Business Loan,N
Female,Yes,3+,Graduate,No,3647,635,16.0,120.0,0.0,466,Rural,Car Loan,N
Male,Yes,1,Graduate,No,9141,3238,26.0,360.0,1.0,802,Rural,Personal Loan,Y
Female,,2,Graduate,No,3769,668,10.0,240.0,0.0,348,Urban,Home Loan,N
Female,No,0,Not Graduate,No,3030,0,10.0,360.0,0.0,406,Semiurban,Education Loan,N
Male,Yes,1,Graduate,No,4405,1261,22.0,180.0,0.0,392,Semiurban,Home Loan,N
Male,Yes,1,Graduate,No,3142,418,10.0,60.0,1.0,715,Urban,Car Loan,N
Female,No,1,Graduate,No,4111,0,10.0,60.0,1.0,748,Rural,Business Loan,N
Male,No,,Graduate,,2493,0,10.0,36.0,0.0,439,Semiurban,Home Loan,N
Male,No,1,Graduate,No,8743,0,14.0,360.0,1.0,673,Rural,Education Loan,Y
Female,Yes,0,Graduate,No,10897,1407,37.0,360.0,1.0,726,Urban,Education Loan,Y
Male,Yes,0,Graduate,No,3665,546,10.0,12.0,1.0,898,Semiurban,Home Loan,Y
Male,No,2,Graduate,No,1524,0,10.0,24.0,1.0,883,Urban,Car Loan,Y
Male,No,0,Graduate,No,2788,0,15.0,240.0,0.0,429,Rural,Education Loan,N
Female,,1,Graduate,No,3537,795,,360.0,1.0,777,Semiurban,Home Loan,Y
Male,Yes,0,Not Graduate,Yes,5732,1519,15.0,60.0,1.0,833,Semiurban,Personal Loan,Y
Male,Yes,1,Graduate,No,1987,1151,10.0,120.0,0.0,633,Urban,Business Loan,N
Male,No,2,Graduate,Yes,2348,0,10.0,,1.0,852,Urban,Home Loan,Y
Male,Yes,0,Graduate,No,5752,279,28.0,180.0,1.0,736,Urban,Home Loan,N
Male,Yes,0,Graduate,No,7763,4849,13.0,84.0,1.0,773,Urban,Car Loan,Y
Male,Yes,0,Not Graduate,No,2604,1759,13.0,180.0,0.0,305,Semiurban,Personal Loan,N
Male,No,1,Graduate,No,1582,0,10.0,360.0,1.0,805,Semiurban,Home Loan,Y
Female,No,2,Graduate,Yes,40090,0,182.0,360.0,0.0,474,Semiurban,Home Loan,N
Male,Yes,0,Graduate,No,6962,1085,10.0,36.0,1.0,898,Semiurban,Education Loan,Y
Male,No,2,Graduate,No,3337,0,10.0,360.0,1.0,829,Urban,Business Loan,Y
Male,No,0,Not Graduate,,7393,0,28.0,240.0,1.0,664,Urban,Car Loan,N
Female,Yes,0,Graduate,No,3688,4585,19.0,360.0,1.0,822,Urban,Car Loan,Y
Male,Yes,3+,Graduate,No,7383,3815,28.0,120.0,0.0,434,Rural,Business Loan,Y
Female,Yes,0,Graduate,No,4498,627,10.0,360.0,0.0,332,Semiurban,Personal Loan,N
Male,No,0,Not Graduate,No,4289,0,10.0,360.0,1.0,850,Urban,Personal Loan,Y
Male,Yes,0,Graduate,Yes,3716,905,,84.0,1.0,721,Urban,Education Loan,N
Male,No,0,Not Graduate,No,1500,0,10.0,360.0,0.0,394,Rural,Business Loan,N
Male,No,0,Graduate,No,15625,0,26.0,240.0,1.0,896,Rural,Personal Loan,Y
Male,Yes,0,Not Graduate,No,2081,1764,10.0,360.0,1.0,874,Semiurban,Business Loan,Y
Male,No,1,Graduate,No,1553,0,10.0,60.0,0.0,490,Semiurban,Personal Loan,N
Male,Yes,0,Not Graduate,No,3466,2673,13.0,120.0,1.0,722,Urban,Personal Loan,N
Male,Yes,1,Graduate,No,2052,1637,10.0,360.0,0.0,613,Rural,Home Loan,N
Male,No,0,Not Graduate,Yes,3880,0,19.0,120.0,1.0,730,Rural,Car Loan,N
Female,No,0,Graduate,No,6512,0,25.0,240.0,0.0,333,Urban,Personal Loan,N
Male,Yes,1,Graduate,No,8076,8722,11.0,180.0,1.0,714,Rural,Home Loan,Y
Male,No,3+,Graduate,No,7117,0,30.0,360.0,1.0,817,Rural,Education Loan,Y
Female,No,0,Graduate,No,3248,0,19.0,240.0,1.0,654,Urban,Home Loan,N
Male,,3+,Graduate,No,4166,1515,22.0,12.0,1.0,871,Semiurban,Personal Loan,Y
Male,No,1,Not Graduate,No,5353,0,,360.0,1.0,852,Urban,Home Loan,Y
Male,Yes,1,Not Graduate,No,1500,128,10.0,180.0,1.0,677,Urban,Personal Loan,N
Male,Yes,1,Graduate,No,5999,883,28.0,180.0,1.0,687,Semiurban,Education Loan,N
Female,Yes,0,Not Graduate,No,1500,1059,10.0,36.0,0.0,469,Urban,Home Loan,N
Female,No,0,Graduate,No,16785,0,72.0,84.0,1.0,891,Rural,Education Loan,Y
Male,No,1,Graduate,No,3031,0,,84.0,1.0,736,Rural,Home Loan,N
Female,Yes,0,Graduate,No,3535,249,20.0,360.0,1.0,795,Urban,Car Loan,Y
Female,Yes,3+,Graduate,No,2347,1614,10.0,,1.0,686,Semiurban,Car Loan,N
Male,No,0,Not Graduate,No,2588,0,10.0,24.0,1.0,804,Rural,Home Loan,Y
Female,Yes,0,Graduate,Yes,19768,366,27.0,60.0,1.0,674,Rural,Business Loan,N
Male,No,2,Graduate,No,7771,0,32.0,36.0,0.0,625,Rural,Home Loan,N
Female,No,0,Graduate,No,1500,0,,360.0,1.0,732,Urban,Education Loan,N
Female,Yes,1,Graduate,No,11532,3404,14.0,60.0,1.0,676,Semiurban,Car Loan,Y
Male,No,,Graduate,Yes,9276,0,43.0,240.0,0.0,526,Semiurban,Education Loan,N
,Yes,3+,Not Graduate,No,3304,1936,16.0,180.0,0.0,474,Rural,Car Loan,N
Male,No,2,Not Graduate,No,4987,0,22.0,360.0,1.0,784,Urban,Education Loan,Y
Male,No,1,Not Graduate,Yes,3981,0,10.0,120.0,0.0,581,Rural,Personal Loan,N
Female,No,1,Graduate,Yes,16007,0,70.0,240.0,1.0,855,Urban,Personal Loan,Y
Female,Yes,3+,Graduate,No,2304,124,10.0,360.0,,434,Rural,Home Loan,N
Male,No,0,Graduate,No,4456,0,10.0,240.0,1.0,771,Semiurban,Education Loan,Y
Male,Yes,0,Graduate,No,2981,428,10.0,360.0,0.0,516,Semiurban,Home Loan,N
Male,Yes,0,Graduate,No,1500,3123,10.0,360.0,0.0,526,Semiurban,Home Loan,Y
Male,Yes,0,Not Graduate,No,18660,960,52.0,180.0,1.0,808,Urban,Car Loan,Y
Male,Yes,1,Graduate,No,1759,1127,10.0,240.0,1.0,876,Urban,Car Loan,Y
Male,Yes,,Graduate,No,4694,282,12.0,480.0,1.0,740,Urban,Car Loan,Y
Female,No,,Graduate,No,1500,0,10.0,360.0,1.0,717,Urban,Personal Loan,N
Male,No,0,Graduate,Yes,3043,0,17.0,360.0,1.0,755,Urban,Car Loan,Y
Male,Yes,2,Graduate,No,5406,1810,30.0,60.0,1.0,653,Rural,Car Loan,Y
Male,No,0,Not Graduate,No,2259,0,10.0,240.0,1.0,795,Semiurban,Home Loan,Y
Male,Yes,1,Graduate,No,6067,546,10.0,360.0,1.0,712,Urban,Personal Loan,Y
Female,No,1,Not Graduate,No,3333,0,10.0,120.0,1.0,736,Rural,Education Loan,N
Female,No,0,Graduate,,9063,0,44.0,480.0,1.0,873,Semiurban,Car Loan,Y
Male,Yes,0,Graduate,No,10438,1621,10.0,36.0,1.0,853,Rural,Personal Loan,Y
Male,No,0,Graduate,No,2668,0,10.0,360.0,0.0,511,Semiurban,Education Loan,N
Male,Yes,2,Not Graduate,No,4245,707,15.0,240.0,1.0,861,Urban,Car Loan,Y
Male,Yes,3+,Not Graduate,No,4575,5525,10.0,36.0,,760,Semiurban,Education Loan,Y
Male,No,1,Graduate,Yes,6207,0,10.0,360.0,0.0,331,Semiurban,Education Loan,N
Male,Yes,0,Graduate,No,4064,1274,10.0,120.0,,550,Urban,Education Loan,N
,Yes,0,Graduate,No,4596,6546,10.0,12.0,1.0,789,Urban,Home Loan,Y
Male,Yes,2,Graduate,No,3393,133,11.0,60.0,0.0,514,Urban,Home Loan,N
Male,No,2,Not Graduate,No,4361,0,25.0,360.0,1.0,895,Urban,Home Loan,Y
Female,,0,Graduate,No,9982,764,14.0,480.0,0.0,379,Semiurban,Education Loan,Y
Male,Yes,0,Graduate,No,6324,2374,17.0,36.0,1.0,740,Semiurban,Personal Loan,Y
Male,No,2,Graduate,Yes,6574,0,37.0,240.0,1.0,818,Urban,Car Loan,Y
Male,No,0,Graduate,No,6675,0,35.0,60.0,1.0,765,Semiurban,Home Loan,Y
Female,Yes,0,Graduate,No,3613,2692,10.0,360.0,0.0,634,Semiurban,Personal Loan,Y
Male,Yes,0,Graduate,No,5030,762,22.0,36.0,1.0,730,Urban,Personal Loan,Y
Male,Yes,1,Not Graduate,No,1882,3263,10.0,,1.0,772,Urban,Business Loan,Y
Female,Yes,2,Not Graduate,No,9780,432,44.0,84.0,1.0,706,Urban,Education Loan,Y
Male,Yes,3+,Graduate,No,1500,981,10.0,300.0,0.0,412,Semiurban,Personal Loan,N
Male,No,1,Not Graduate,No,3785,0,13.0,360.0,0.0,471,Urban,Home Loan,N
Male,No,1,Graduate,No,8943,0,30.0,300.0,1.0,874,Semiurban,Home Loan,Y
Male,No,0,Graduate,Yes,1548,0,10.0,24.0,1.0,744,Semiurban,Home Loan,N
Male,Yes,1,Graduate,No,5323,1055,21.0,300.0,1.0,704,Semiurban,Personal Loan,Y
Male,No,0,Graduate,No,2498,0,10.0,360.0,,655,Urban,Home Loan,N
Male,Yes,1,Graduate,No,3108,1791,13.0,60.0,0.0,424,Urban,Car Loan,N
Female,No,0,Graduate,No,7802,0,10.0,36.0,,658,Semiurban,Car Loan,Y
Male,No,0,Graduate,Yes,4622,0,,60.0,1.0,883,Rural,Car Loan,Y
Male,Yes,0,Not Graduate,No,1500,752,10.0,360.0,1.0,681,Rural,Personal Loan,N
Male,No,0,Graduate,No,2031,0,10.0,360.0,1.0,813,Semiurban,Home Loan,Y
Male,Yes,0,Graduate,No,7964,1122,14.0,300.0,1.0,777,Semiurban,Car Loan,Y
Male,No,0,Graduate,No,5509,0,12.0,84.0,1.0,665,Semiurban,Personal Loan,Y
Male,Yes,3+,Graduate,No,13680,960,61.0,180.0,1.0,789,Rural,Home Loan,Y
Male,Yes,0,Graduate,No,13067,1115,51.0,480.0,1.0,690,Urban,Education Loan,Y
Male,No,1,Not Graduate,No,3166,0,16.0,84.0,1.0,844,Rural,Personal Loan,Y
Male,Yes,2,Graduate,No,23208,1999,54.0,360.0,1.0,835,Semiurban,Business Loan,Y
Male,No,3+,Graduate,No,4093,0,22.0,360.0,1.0,868,Semiurban,Personal Loan,Y
Male,Yes,1,Graduate,No,2051,2701,10.0,60.0,0.0,454,Urban,Car Loan,N
Male,No,2,Graduate,No,2582,0,10.0,240.0,1.0,786,Semiurban,Education Loan,Y
Female,No,0,Graduate,Yes,1500,0,10.0,360.0,1.0,774,Semiurban,Home Loan,Y
Male,Yes,0,Graduate,Yes,12393,794,26.0,180.0,0.0,559,Urban,Home Loan,Y
Male,Yes,0,Graduate,Yes,12287,916,70.0,360.0,0.0,499,Urban,Home Loan,N
Male,Yes,1,Graduate,Yes,1976,2140,10.0,120.0,1.0,782,Rural,Car Loan,Y
Female,Yes,1,Graduate,Yes,3430,170,10.0,300.0,1.0,675,Semiurban,Personal Loan,N
Female,Yes,0,Not Graduate,No,4302,1138,10.0,360.0,1.0,862,Semiurban,Car Loan,Y
Male,No,0,Graduate,No,2054,0,10.0,360.0,1.0,778,Urban,Education Loan,Y
Male,No,1,Not Graduate,Yes,1500,0,10.0,240.0,,650,Semiurban,Car Loan,N
Female,No,0,Not Graduate,No,3472,0,10.0,360.0,0.0,454,Semiurban,Car Loan,N
Male,No,1,Graduate,No,3213,0,10.0,12.0,0.0,562,Semiurban,Business Loan,N
Male,No,1,Graduate,No,3065,0,10.0,,1.0,736,Semiurban,Home Loan,N
Male,No,2,Graduate,No,4702,0,13.0,120.0,1.0,687,Semiurban,Education Loan,N
Male,Yes,,Graduate,No,10945,578,37.0,36.0,1.0,882,Semiurban,Car Loan,Y
Female,No,2,Graduate,No,3254,0,16.0,120.0,1.0,653,Urban,Home Loan,Y
Female,No,0,Not Graduate,No,4533,0,22.0,120.0,1.0,701,Rural,Car Loan,N
Male,Yes,2,Not Graduate,No,6692,486,33.0,480.0,0.0,328,Semiurban,Personal Loan,Y
Male,Yes,1,Graduate,No,5930,5383,10.0,360.0,1.0,878,Urban,Home Loan,Y
Male,Yes,0,Graduate,No,2617,2603,12.0,180.0,0.0,471,Semiurban,Home Loan,N
Male,Yes,0,Graduate,No,4304,205,10.0,480.0,0.0,496,Rural,Home Loan,N
Female,No,0,Not Graduate,No,5903,0,10.0,60.0,0.0,454,Urban,Personal Loan,N
,Yes,0,Graduate,No,1826,1364,10.0,240.0,1.0,755,Urban,Personal Loan,Y
Female,Yes,1,Graduate,Yes,9744,1467,49.0,360.0,1.0,896,Semiurban,Education Loan,Y
Male,No,2,Graduate,No,10961,0,40.0,24.0,1.0,697,Urban,Car Loan,Y
Male,Yes,0,Graduate,No,2426,3111,,360.0,1.0,736,Rural,Business Loan,N
Male,Yes,0,Not Graduate,No,4608,2304,27.0,36.0,1.0,840,Urban,Personal Loan,Y
Female,Yes,3+,Graduate,No,6308,1692,25.0,60.0,1.0,687,Rural,Personal Loan,Y
Male,No,0,Graduate,No,2746,0,10.0,60.0,1.0,701,Urban,Personal Loan,N
Male,No,0,Not Graduate,No,5637,0,26.0,360.0,1.0,736,Urban,Education Loan,N
Male,Yes,1,Graduate,Yes,4511,1642,10.0,360.0,0.0,328,Rural,Car Loan,N
Male,No,1,Graduate,Yes,1500,0,10.0,360.0,1.0,859,Semiurban,Personal Loan,Y
Male,Yes,0,Graduate,No,5549,2954,26.0,300.0,1.0,742,Semiurban,Business Loan,Y
Male,No,0,Graduate,Yes,1862,0,10.0,120.0,1.0,869,Urban,Home Loan,Y
Male,No,0,Graduate,Yes,7765,0,11.0,360.0,0.0,384,Semiurban,Home Loan,N
Male,No,1,Graduate,No,2515,0,10.0,180.0,1.0,880,Semiurban,Business Loan,Y
Male,Yes,1,Graduate,Yes,3594,1726,10.0,60.0,1.0,699,Rural,Home Loan,N
Male,No,0,Graduate,No,10515,0,,360.0,1.0,851,Rural,Personal Loan,Y
Male,No,1,Not Graduate,No,5695,0,25.0,60.0,0.0,607,Semiurban,Car Loan,N
Male,Yes,2,Not Graduate,No,1890,982,10.0,84.0,0.0,360,Semiurban,Home Loan,N
Male,No,0,Graduate,No,1977,0,,360.0,1.0,687,Semiurban,Home Loan,Y
Male,Yes,0,Graduate,No,2645,740,14.0,360.0,1.0,804,Semiurban,Home Loan,Y
Male,No,1,Graduate,No,5304,0,18.0,360.0,1.0,896,Urban,Home Loan,Y
Female,Yes,0,Graduate,No,5170,2264,28.0,180.0,1.0,754,Urban,Car Loan,Y
,No,0,Not Graduate,No,2230,0,10.0,,0.0,371,Urban,Personal Loan,N
Male,Yes,1,Graduate,No,1777,1342,10.0,360.0,0.0,592,Urban,Business Loan,N
Male,Yes,3+,Graduate,Yes,4900,3808,10.0,360.0,0.0,497,Urban,Car Loan,N
Male,Yes,2,Graduate,No,3542,1678,15.0,300.0,1.0,851,Semiurban,Education Loan,Y
Male,Yes,1,Graduate,No,18215,1313,62.0,480.0,1.0,665,Rural,Education Loan,Y
Male,Yes,2,Graduate,,4128,463,17.0,360.0,1.0,728,Semiurban,Education Loan,N
Female,Yes,0,Graduate,No,14328,2006,62.0,180.0,0.0,626,Urban,Education Loan,N
Male,Yes,1,Not Graduate,Yes,1773,1476,10.0,360.0,0.0,406,Urban,Home Loan,N
Female,Yes,0,Not Graduate,No,1500,3482,10.0,300.0,1.0,751,Semiurban,Home Loan,Y
Male,Yes,0,Graduate,No,1837,1143,10.0,300.0,1.0,797,Urban,Home Loan,Y
Female,No,2,Graduate,No,9250,0,16.0,24.0,1.0,801,Semiurban,Home Loan,Y
Male,Yes,1,Not Graduate,No,13756,237,56.0,300.0,1.0,882,Rural,Personal Loan,Y
Male,No,0,Graduate,No,2327,0,10.0,360.0,0.0,479,Urban,Home Loan,N
Male,No,3+,Graduate,No,2914,0,11.0,360.0,1.0,784,Urban,Business Loan,Y
Male,No,0,Graduate,Yes,1775,0,10.0,360.0,0.0,473,Semiurban,Business Loan,N
Male,Yes,0,Not Graduate,No,1500,1215,10.0,60.0,1.0,737,Rural,Business Loan,N
Male,No,0,Graduate,No,6653,0,34.0,180.0,0.0,367,Rural,Business Loan,Y
Male,Yes,2,Graduate,No,4703,1005,28.0,84.0,1.0,782,Rural,Home Loan,Y
Male,Yes,2,Not Graduate,No,4053,503,20.0,120.0,0.0,437,Urban,Education Loan,N
Male,Yes,0,Not Graduate,Yes,1510,1081,10.0,300.0,1.0,886,Rural,Home Loan,Y
Female,No,1,Not Graduate,No,12682,0,22.0,,1.0,812,Urban,Personal Loan,Y
Female,Yes,0,Graduate,No,2828,784,12.0,300.0,1.0,714,Urban,Business Loan,N
Female,Yes,2,Graduate,Yes,5846,819,33.0,240.0,1.0,749,Rural,Personal Loan,N
Male,No,0,Not Graduate,No,1500,0,10.0,120.0,1.0,764,Rural,Car Loan,Y
Male,No,0,Not Graduate,No,3521,0,10.0,36.0,1.0,859,Urban,Personal Loan,Y
Female,Yes,3+,Graduate,No,4934,975,10.0,360.0,0.0,407,Urban,Home Loan,N
Male,Yes,0,Graduate,No,5059,2755,23.0,12.0,1.0,736,Urban,Home Loan,Y
Female,No,0,Not Graduate,No,4483,0,13.0,12.0,0.0,615,Urban,Personal Loan,N
Female,Yes,1,Not Graduate,No,5688,2367,10.0,360.0,0.0,336,Urban,Car Loan,N
Female,Yes,3+,Graduate,No,1823,1774,10.0,480.0,1.0,821,Rural,Business Loan,Y
Male,Yes,0,Graduate,No,4620,1471,17.0,360.0,0.0,445,Semiurban,Home Loan,Y
Male,No,0,Graduate,No,4357,0,10.0,12.0,1.0,662,Rural,Personal Loan,Y
Female,No,0,Graduate,Yes,4732,0,12.0,84.0,,743,Rural,Car Loan,N
Male,No,1,Graduate,No,4232,0,10.0,480.0,1.0,859,Semiurban,Personal Loan,Y
Male,No,0,Graduate,No,1650,0,10.0,360.0,0.0,585,Rural,Personal Loan,N
Male,Yes,1,Graduate,No,1599,793,10.0,300.0,1.0,852,Semiurban,Business Loan,Y
Female,Yes,3+,Graduate,No,1500,2455,10.0,84.0,1.0,773,Urban,Home Loan,Y
Male,Yes,0,Graduate,No,7131,1190,34.0,12.0,1.0,883,Semiurban,Business Loan,Y
Male,Yes,0,Not Graduate,No,7182,996,30.0,12.0,0.0,306,Semiurban,Home Loan,Y
Male,Yes,0,Graduate,No,7262,714,16.0,360.0,1.0,687,Rural,Home Loan,Y
Male,No,0,Graduate,Yes,4987,0,17.0,12.0,0.0,468,Rural,Car Loan,N
Female,No,3+,Not Graduate,No,1500,0,10.0,480.0,0.0,373,Semiurban,Personal Loan,N
,No,,Graduate,No,1961,0,10.0,60.0,0.0,592,Rural,Car Loan,N
Male,Yes,0,Not Graduate,Yes,4533,1507,10.0,360.0,0.0,326,Urban,Personal Loan,N
Female,No,1,Not Graduate,No,4424,0,16.0,60.0,0.0,576,Rural,Personal Loan,N
Male,No,0,Graduate,Yes,3442,0,14.0,300.0,1.0,891,Semiurban,Home Loan,Y
Male,Yes,1,Not Graduate,No,5209,958,10.0,36.0,1.0,790,Urban,Business Loan,Y
Male,No,0,Graduate,No,4056,0,18.0,360.0,1.0,802,Semiurban,Home Loan,Y
Male,Yes,2,Graduate,No,4378,3536,18.0,360.0,1.0,673,Semiurban,Business Loan,Y
Male,Yes,3+,Graduate,No,2572,680,14.0,36.0,1.0,773,Urban,Car Loan,Y
Female,,1,Graduate,No,8001,589,13.0,360.0,1.0,678,Rural,Education Loan,Y
Female,Yes,3+,Not Graduate,Yes,2976,217,14.0,300.0,1.0,877,Urban,Car Loan,Y
Female,Yes,0,Graduate,Yes,1585,1833,,,0.0,514,Rural,Home Loan,N
Female,No,0,Graduate,No,2345,0,10.0,360.0,1.0,795,Semiurban,Car Loan,Y
Male,No,1,Graduate,No,3152,0,11.0,360.0,0.0,484,Urban,Home Loan,N
,,1,Graduate,No,8069,0,22.0,36.0,1.0,654,Semiurban,Home Loan,Y
Female,No,0,Graduate,No,3906,0,20.0,60.0,1.0,795,Rural,Home Loan,Y
Male,Yes,,Graduate,No,3532,610,10.0,480.0,0.0,536,Semiurban,Car Loan,N
Male,No,0,Not Graduate,No,1678,0,10.0,240.0,1.0,774,Semiurban,Personal Loan,Y
Female,Yes,0,Graduate,Yes,6973,500,13.0,84.0,1.0,814,Semiurban,Education Loan,Y
Female,Yes,0,Not Graduate,No,2549,669,11.0,360.0,1.0,720,Semiurban,Business Loan,N
Male,Yes,2,Graduate,No,3751,1393,10.0,120.0,1.0,832,Rural,Education Loan,Y
Male,Yes,0,Not Graduate,No,11340,698,58.0,360.0,0.0,640,Urban,Personal Loan,N
Male,Yes,0,Graduate,No,5745,880,,360.0,0.0,416,Semiurban,Education Loan,N
